,No,Date,Weather,TempF,TempC,Humidity,Pressure,Location
405,405,2020-02-10,1,85,29,69,1015,Nellore
406,406,2020-02-11,1,85,29,73,1015,Nellore
407,407,2020-02-12,0,84,29,71,1016,Nellore
408,408,2020-02-13,0,85,29,71,1015,Nellore
409,409,2020-02-14,0,89,32,64,1013,Nellore
410,410,2020-02-15,0,89,31,60,1012,Nellore
411,411,2020-02-16,0,87,31,60,1014,Nellore
412,412,2020-02-17,0,86,30,62,1015,Nellore
413,413,2020-02-18,0,86,30,65,1014,Nellore
414,414,2020-02-19,0,85,29,68,1014,Nellore
415,415,2020-02-20,0,85,29,66,1014,Nellore
416,416,2020-02-21,0,85,30,70,1016,Nellore
417,417,2020-02-22,1,85,30,75,1016,Nellore
418,418,2020-02-23,0,86,30,73,1015,Nellore
419,419,2020-02-24,0,87,31,73,1013,Nellore
420,420,2020-02-25,0,88,31,76,1011,Nellore
421,421,2020-02-26,1,89,31,75,1012,Nellore
422,422,2020-02-27,0,88,31,75,1012,Nellore
423,423,2020-02-28,1,88,31,72,1011,Nellore
424,424,2020-03-01,0,89,31,68,1011,Nellore
425,425,2020-03-02,0,87,31,69,1012,Nellore
426,426,2020-03-03,0,90,32,65,1011,Nellore
427,427,2020-03-04,0,94,35,63,1010,Nellore
428,428,2020-03-05,0,92,33,67,1009,Nellore
429,429,2020-03-06,1,87,31,77,1010,Nellore
430,430,2020-03-07,1,89,32,75,1012,Nellore
431,431,2020-03-08,0,88,31,75,1012,Nellore
432,432,2020-03-09,0,89,32,70,1010,Nellore
433,433,2020-03-10,0,91,33,69,1010,Nellore
434,434,2020-03-11,0,92,33,65,1011,Nellore
435,435,2020-03-12,0,93,34,67,1012,Nellore
436,436,2020-03-13,0,93,34,70,1012,Nellore
437,437,2020-03-14,0,91,33,72,1012,Nellore
438,438,2020-03-15,0,90,32,71,1012,Nellore
439,439,2020-03-16,0,91,33,70,1012,Nellore
440,440,2020-03-17,0,92,33,70,1013,Nellore
441,441,2020-03-18,0,94,35,69,1012,Nellore
442,442,2020-03-19,0,98,37,61,1011,Nellore
443,443,2020-03-20,0,96,36,62,1011,Nellore
444,444,2020-03-21,0,97,36,60,1010,Nellore
445,445,2020-03-22,1,94,34,66,1011,Nellore
446,446,2020-03-23,0,94,34,66,1011,Nellore
447,447,2020-03-24,0,93,34,67,1010,Nellore
448,448,2020-03-25,0,93,34,68,1009,Nellore
449,449,2020-03-26,0,94,34,67,1010,Nellore
450,450,2020-03-27,0,94,35,62,1012,Nellore
451,451,2020-03-28,0,96,36,55,1010,Nellore
452,452,2020-03-29,0,98,37,50,1009,Nellore
453,453,2020-03-30,0,96,36,56,1010,Nellore
454,454,2020-03-31,0,97,36,58,1010,Nellore
455,455,2020-04-01,0,99,37,57,1009,Nellore
456,456,2020-04-02,0,100,38,60,1009,Nellore
457,457,2020-04-03,0,99,37,65,1010,Nellore
458,458,2020-04-04,0,95,35,71,1011,Nellore
459,459,2020-04-05,0,97,36,71,1011,Nellore
460,460,2020-04-06,0,98,37,74,1011,Nellore
461,461,2020-04-07,0,98,37,69,1009,Nellore
462,462,2020-04-08,0,100,38,62,1010,Nellore
463,463,2020-04-09,0,99,37,62,1010,Nellore
464,464,2020-04-10,0,98,37,65,1011,Nellore
